company,category,category_source
1 Medical Pty Ltd,"Healthcare, Medical & Pharmaceutical",original
1300SMlLES LTD,"Healthcare, Medical & Pharmaceutical",inferred
2XlJ Pty Ltd,Consumer Goods & Retail,inferred
3M AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
3P Learning Limited,Education - Schools & Training,original
4mation Technologies Pty Ltd,Information Technology & Software,original
5B AUSTRALIA PTY LTD,"Mining, Resources & Energy",inferred
68 EDUCATION LIMITED,Education - Schools & Training,original
8SQUAD PTY LTD,Unknown / To Check,unresolved
A & A Karolis Pty Ltd,Unknown / To Check,unresolved
A & G ENGINEERING PTY LTD,Engineering & Construction,original
A ABRAHAMS & OTHERS,Unknown / To Check,unresolved
A P Facilities Pty Ltd,Unknown / To Check,unresolved
A Trahair & Others,Unknown / To Check,unresolved
A. HARTRODT AUSTRALIA PTY LTD,Transport & Logistics,inferred
A.C. Hargreaves Pty Ltd,Unknown / To Check,unresolved
A.N. COOKE MANUFACTURING COMPANY PROPRIETARY LIMITED,Manufacturing & Industrial,original
AAA NEXTT GROUP PTY LTD,Unknown / To Check,unresolved
AAPC LIMITED,"Hospitality, Travel & Tourism",inferred
ABANO HEALTHCARE AUSTRALIA PTY LTD,"Healthcare, Medical & Pharmaceutical",original
ABARIS PRINTING AND PUBLISHING CO PTY LTD,"Media, Entertainment & Creative",original
ABB Australia Pty Ltd,Manufacturing & Industrial,inferred
Abbott Australasia PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
Abbott Risk Consulting Limited,"Consulting, Accounting & Professional Services",original
Abbvie Pty Ltd,"Healthcare, Medical & Pharmaceutical",original
ABE-RFELDIE PRIMARY SCHOOL,Education - Schools & Training,original
ABE-RGELDIE PERSONNEL PTY LTD,"Recruitment, HR & Labour Hire",original
ABN AMRO CLEARING SYDNEY PTY LTD,Banking & Financial Services,inferred
Acadian Asset Management (Australia) Ltd,Banking & Financial Services,original
ACCENT GROUP LIMITED,Consumer Goods & Retail,inferred
Accenture Australia Holdings Pty Ltd,Information Technology & Software,original
Access Software Australia Pty Ltd,Information Technology & Software,original
ACCESS TESTING PTY LTD,Information Technology & Software,inferred
ACCIONA CONSTRUCTION AUSTRALIA PTY LTD,Engineering & Construction,original
Acciona Energy Australia Global Pty Ltd,"Mining, Resources & Energy",original
ACCOLADE WINES AUSTRALIA LIMITED,"Hospitality, Travel & Tourism",original
ACE COMMUNICATION DISTRIBUTORS PTY LTD,Telecommunications,inferred
Achmea Schadeverzekeringen N.V.,Insurance,inferred
ACI WORLDWIDE (PACIFIC) PTY LTD,Information Technology & Software,inferred
ACMENA GROUP PTY LTD,Unknown / To Check,unresolved
ACON Health Limited,"Healthcare, Medical & Pharmaceutical",original
ACOR Consultants Pty Ltd,"Consulting, Accounting & Professional Services",original
ACT Education and Training Directorate,Education - Schools & Training,original
ACTION BAY PTY LTD,Unknown / To Check,unresolved
ACTIVE CONTRACTING PTY LTD,Engineering & Construction,original
ACTIVE SPORTS INJURY CLINIC PTY LTD,"Healthcare, Medical & Pharmaceutical",original
Activision Blizzard Pty Limited,"Media, Entertainment & Creative",inferred
ACTRON ENGINEERING PTY LTD,Engineering & Construction,original
ADACTIN GROUP PTY LTD,Information Technology & Software,inferred
ADANI MINING PTY LTD,"Mining, Resources & Energy",original
Adapt-a-Lift Group Pty Ltd,Manufacturing & Industrial,inferred
ADAPTALIFT GSE PTY LTD,Manufacturing & Industrial,inferred
ADB Safegate Australia Pty Ltd,Aviation & Aerospace,inferred
Adecco Australia Pty Ltd,"Recruitment, HR & Labour Hire",inferred
Adelaide Community Healthcare Alliance Incorporated,"Healthcare, Medical & Pharmaceutical",original
Adelaide Symphony Orchestra Pty Ltd,"Media, Entertainment & Creative",inferred
ADG ENGINEERS (AUST) PTY LTD,Engineering & Construction,original
ADIDAS AUSTRALIA PTY LIMITED,Consumer Goods & Retail,inferred
Adobe Systems Pty Ltd,Information Technology & Software,original
Adora Fertility Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
Adox Pty Ltd,Unknown / To Check,unresolved
ADP Consulting Pty Ltd,"Consulting, Accounting & Professional Services",original
Adrenalin Media Pty Ltd,Marketing & Advertising,inferred
Advance Delivery Consulting Pty Ltd,"Consulting, Accounting & Professional Services",original
ADVANCE VISION TECHNOLOGY PTY LTD,Information Technology & Software,inferred
Advanced Navigation Pty Ltd,Information Technology & Software,inferred
Adventist Development and Relief Agency Australia Ltd,Real Estate & Property,original
ADVENTIST HealthCare Limited,"Healthcare, Medical & Pharmaceutical",original
Adyen Australia Pty Limited,Banking & Financial Services,inferred
AE-IOU FOUNDATION,"Religious, Charitable & Non-profit",original
AE.COM AUSTRALIA PTY LTD,Engineering & Construction,inferred
AEGIS AGED CARE GROUP PTY LTD,"Aged Care, Disability & Social Services",original
AERLINK PTY LTD,Aviation & Aerospace,inferred
AFFINITY EDUCATION GROUP LIMITED,Education - Schools & Training,original
AFGRI EQUIPMENT AUSTRALIA PTY LTD,Manufacturing & Industrial,original
AFIC SCHOOLS (VICTORIA) LIMITED,Education - Schools & Training,original
AFIC SCHOOLS (WA) LIMITED,Education - Schools & Training,original
AFTERPAY AUSTRALIA PTY LTD,Banking & Financial Services,original
AGCO AUSTRALIA LIMITED,"Agriculture, Food & Beverage",inferred
AGGREKO GENERATOR RENTALS PTY. LIMITED,"Mining, Resources & Energy",inferred
Agilent Technologies Australia (M) Pty Ltd,Information Technology & Software,original
Agilex Biolabs Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
AGL ENERGY LIMITED,"Mining, Resources & Energy",original
AGRANA FRUIT AUSTRALIA PTY LIMITED,"Agriculture, Food & Beverage",inferred
AGRICULTURAL BANK OF CHINA LTD,Banking & Financial Services,original
AGTRADE HOLDINGS PTY LTD,"Agriculture, Food & Beverage",inferred
AIA AUSTRALIA LIMITED,Insurance,inferred
AIG Australia Limited,Insurance,inferred
AINSBURY HOLDINGS PTY LTD,Unknown / To Check,unresolved
Ainsworth Game Technology Limited,"Media, Entertainment & Creative",original
AIR AFFAIRS (AUSTRALIA) PTY. LTD.,Aviation & Aerospace,inferred
AIR LIQUIDE AUSTRALIA LIMITED,Manufacturing & Industrial,inferred
Air Trunk Operating Pty Ltd,Information Technology & Software,inferred
Air-Met Scientific Pty Ltd,Manufacturing & Industrial,inferred
Airbnb Australia Pty Ltd,"Hospitality, Travel & Tourism",inferred
AIRBUS AUSTRALIA PACIFIC LIMITED,Aviation & Aerospace,inferred
AIRFLITE PTY LTD,Aviation & Aerospace,inferred
AIRFORCE AIRCONDITIONING PTY LTD,Engineering & Construction,inferred
AIRPORT RETAIL ENTERPRISES PTY LTD,Aviation & Aerospace,original
Airtasker Limited,Information Technology & Software,inferred
AIRWALLEX PTY LTD,Banking & Financial Services,inferred
Aitken Creek Primary School,Education - Schools & Training,original
Aitken Hill Primary School,Education - Schools & Training,original
AJ Baker & Sons Pty Ltd,Manufacturing & Industrial,inferred
AJC ARCHITECTS PTY LTD,Architecture & Design,inferred
AKIBA CANBERRA PTY LTD,"Hospitality, Travel & Tourism",inferred
Akuna Capital Australia Pty Ltd,Banking & Financial Services,original
Akzo Nobel Pty Ltd,Manufacturing & Industrial,inferred
AL FAISAL COLLEGE LIMITED,Education - Schools & Training,original
AL SIRAAT COLLEGE INC,Education - Schools & Training,original
Alamanda K-9 College,Education - Schools & Training,original
Albert Park College,Education - Schools & Training,original
Albert Park Primary School,Education - Schools & Training,original
ALBURY WODONGA HEALTH,"Healthcare, Medical & Pharmaceutical",original
AlburyCity Council,Government & Public Sector,original
ALCOA OF AUSTRALIA LIMITED,"Mining, Resources & Energy",inferred
Alcon Laboratories (Australia) Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
ALDI STORES (A LIMITED PARTNERSHIP),Consumer Goods & Retail,original
ALE-MLI_JBE PTY LTD,Unknown / To Check,unresolved
Alfa Laval Australia Pty Ltd,Manufacturing & Industrial,inferred
ALFRED HEALTH,"Healthcare, Medical & Pharmaceutical",original
Alibaba (Australia) Company Pty Ltd,Information Technology & Software,inferred
ALICE CAR CENTRE PTY. LTD.,Automotive,inferred
ALINEA INC,Unknown / To Check,unresolved
Alinta Servco Pty Ltd,"Mining, Resources & Energy",inferred
ALISE-NCO SERVICES PTY LTD,Unknown / To Check,unresolved
Alkira Secondary College,Education - Schools & Training,original
ALL CAST (NT) DRAINAGE SYSTEMS PTY LTD,Information Technology & Software,original
All Cast Australia Pty Ltd,Manufacturing & Industrial,inferred
All G Foods Pty Limited,"Agriculture, Food & Beverage",original
All Nippon Airways Co Ltd,Aviation & Aerospace,original
ALLEGION (AUSTRALIA) PTY. LTD.,Manufacturing & Industrial,inferred
ALLEN OVERY SHEARMAN STERLING (AUSTRALIA) PTY LTD,Legal Services,inferred
Allens,Legal Services,inferred
Alliance Automation Pty Ltd,Engineering & Construction,inferred
Alliance Climate Control,Engineering & Construction,inferred
Alliance Geotechnical Pty Ltd,Engineering & Construction,inferred
ALLIANCE POWER & DATA PTY LTD,"Mining, Resources & Energy",original
Allianz Australia Services Pty Limited,Insurance,original
Allianz Technology SE,Insurance,original
ALLIED PINNACLE PTY LIMITED,"Agriculture, Food & Beverage",inferred
Allier Capital Pty Ltd,Banking & Financial Services,original
Allity Management Services Pty Ltd,"Aged Care, Disability & Social Services",inferred
ALLSEAS MARINE CONTRACTORS AUSTRALIA PTY LTD,Engineering & Construction,original
Allspec Engineering Pty Ltd,Engineering & Construction,original
Alpha Digital Design Consultants Pty Ltd,Information Technology & Software,original
ALPHA FLIGHT SERVICES PTY LTD,Aviation & Aerospace,original
ALPHAPHARM PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
ALPINE HEALTH,"Healthcare, Medical & Pharmaceutical",original
ALSTEF AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
ALSTOM TRANSPORT AUSTRALIA PTY LIMITED,Transport & Logistics,original
Alternative Media Pty Ltd,"Media, Entertainment & Creative",inferred
ALTO ARTARMON PTY LIMITED,Automotive,inferred
Altona Meadows Primary School,Education - Schools & Training,original
ALTUS GROUP COST MANAGEMENT PTY LIMITED,Real Estate & Property,inferred
AMA GROUP SOLUTIONS PTY LTD,Automotive,inferred
AMADEUS IT PACIFIC PTY LTD,Information Technology & Software,inferred
AMALGAMATED HOTELS PTY LIMITED,"Hospitality, Travel & Tourism",original
AMAZON COMMERCIAL SERVICES PTY LTD,Consumer Goods & Retail,inferred
AMAZON CORPORATE SERVICES PTY LTD,Consumer Goods & Retail,inferred
AMAZON WEB SERVICES AUSTRALIA PTY LTD,Information Technology & Software,original
AMBITION GROUP LIMITED,"Recruitment, HR & Labour Hire",inferred
Ambulance Service of NSW,"Healthcare, Medical & Pharmaceutical",inferred
Amcor Flexibles Asia Pacific - ANZ,Manufacturing & Industrial,inferred
Amcor Limited,Manufacturing & Industrial,inferred
AMDOCS (AUSTRALIA) PTY LTD,Information Technology & Software,inferred
AMERICAN EXPRESS AUSTRALIA LIMITED,Banking & Financial Services,original
AMERICOLD LOGISTICS LIMITED,Transport & Logistics,original
AMES Australia,Consumer Goods & Retail,inferred
AMGEN AUSTRALIA PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
Amorim Australasia Pty Ltd,Manufacturing & Industrial,inferred
Amorini Australia Pty Ltd,Unknown / To Check,unresolved
AMP Services Limited,Banking & Financial Services,inferred
Ampcontrol Limited,Manufacturing & Industrial,inferred
Amplitude Consultants Pty Ltd,"Consulting, Accounting & Professional Services",original
AMPOL AUSTRALIA PETROLEUM PTY LTD,"Mining, Resources & Energy",original
AMS TECHNOLOGY GROUP PTY LTD,Information Technology & Software,inferred
ANALYTICAL SYSTEMS PTY LTD,Information Technology & Software,original
ANCA Pty Ltd,Manufacturing & Industrial,inferred
ANCHOR SAFE SYSTEMS pn' LTD,Information Technology & Software,original
ANDREW ENGINEERING (AUST) PTY LTD,Engineering & Construction,original
ANDRITZ Pty Ltd,Manufacturing & Industrial,inferred
ANGLICARE N.T. LTD.,"Religious, Charitable & Non-profit",inferred
ANGLO AMERICAN STEELMAKING COAL PTY LTD,"Mining, Resources & Energy",original
ANGLOGOLD ASHANTI AUSTRALIA LIMITED,"Mining, Resources & Energy",inferred
Animal Logic Pty Limited,"Media, Entertainment & Creative",inferred
ANIMAL RESOURCES AUTHORITY,"Mining, Resources & Energy",original
ANIMAL WELFARE LEAGUE NSW,"Religious, Charitable & Non-profit",inferred
ANIXTER AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
ANL CONTAINER LINE PTY LTD,Transport & Logistics,inferred
Ansarada Pty Limited,Information Technology & Software,inferred
ANSELL LIMITED,Manufacturing & Industrial,inferred
Ansett Aviation Queensland Pty Ltd,Aviation & Aerospace,original
Aon Corporation Australia Limited,Insurance,original
Aon Services Pty Ltd,Insurance,original
APEX COMMUNICATION TECHNOLOGIES PTY LTD,Information Technology & Software,original
Apex Fund Services (Australia) Pty Ltd,Banking & Financial Services,inferred
APEX GROUP HOLDINGS (AUSTRALIA) PTY LTD,Banking & Financial Services,inferred
APG & CO PTY LIMITED,Consumer Goods & Retail,inferred
APIAM MANAGEMENT PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
APNIC Pty Ltd,Information Technology & Software,inferred
APOLLO CARE OPERATIONS PTY LIMITED,"Aged Care, Disability & Social Services",inferred
Apollo Health Limited,"Healthcare, Medical & Pharmaceutical",original
APP CORPORATION PTY LIMITED,Information Technology & Software,original
APPARENT COMMUNICATIONS PTY LTD,Telecommunications,original
APPEN BUTLER HILL PTY LTD,Information Technology & Software,inferred
APPLE PTY LIMITED,Information Technology & Software,inferred
APPLIJS PTY LTD,Unknown / To Check,unresolved
APTELLA PTY LTD,Information Technology & Software,inferred
Aquent LLC,"Recruitment, HR & Labour Hire",inferred
ARA Fire Protection Services Pty Limited,Engineering & Construction,inferred
ARARAT SECONDARY COLLEGE,Education - Schools & Training,original
ARB CORPORATION LIMITED,Automotive,inferred
ARC INFRASTRUCTURE EMPLOYMENT PTY LTD,Engineering & Construction,original
ARCADIS AUSTRALIA PACIFIC PTY LTD,Engineering & Construction,inferred
ARCH Services Pty Limited,Unknown / To Check,unresolved
Architectus Australia Holdings Pty Ltd,Architecture & Design,inferred
ARE MEDIA PTY LIMITED,"Media, Entertainment & Creative",inferred
ARGON & CO AUSTRALIA PTY LTD,"Consulting, Accounting & Professional Services",inferred
ARISTOCRAT TECHNOLOGIES AUSTRALIA PTY LIMITED,Information Technology & Software,original
Arlec Australia Pty LTD,Consumer Goods & Retail,inferred
ARMMED PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
ARMS Reliability Pty Ltd,"Consulting, Accounting & Professional Services",inferred
ARNOTT'S BISCUITS LIMITED,"Agriculture, Food & Beverage",inferred
ARRB GROUP LTD,Engineering & Construction,inferred
ARROWFIELD GROUP PTY LTD,"Agriculture, Food & Beverage",inferred
ART GALLERY OF NSW STAFF AGENCY,Government & Public Sector,inferred
Arthur J. Gallagher (Aus) Pty Ltd,Insurance,inferred
Arup Australia Services Pty Ltd,Engineering & Construction,inferred
ASAHI BEVERAGES PTY LTD,"Agriculture, Food & Beverage",inferred
ASC Pty Ltd,Defence & Aerospace,inferred
asco SYSTEMS AUSTRALIA PTY LIMITED,Information Technology & Software,original
ASCOT GROUP BUILDING PTY LTD,Engineering & Construction,original
ASCOT VALE HEIGHTS SCHOOL,Education - Schools & Training,original
ASCOTT INTERNATIONAL MANAGEMENT AUSTRALIA PTY LTD,"Hospitality, Travel & Tourism",inferred
ASHDOWN CONSULTING,"Consulting, Accounting & Professional Services",original
ASHIJRST AUSTRALIA,Legal Services,inferred
Ashwood High School,Education - Schools & Training,original
ASIANA AIRLINES INC,Aviation & Aerospace,original
ASICS OCEANIA PTY LTD,Consumer Goods & Retail,inferred
ASM GLOBAL (ASIA PACIFIC) PTY LTD,"Media, Entertainment & Creative",original
ASPECT PERSONNEL PTY LTD,"Recruitment, HR & Labour Hire",original
ASPEN PHARMA PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
ASSA ABLOY AUSTRALIA PTY LIMITED,Manufacturing & Industrial,inferred
ASSA ABLOY ENTRANCE SYSTEMS AUSTRALIA PTY LIMITED,Information Technology & Software,original
Assignar Pty Ltd,Information Technology & Software,inferred
Associated Foreign Exchange Australia Pty Ltd,Banking & Financial Services,inferred
